english,translation
"Bohemia","Böhmen"
"Elector","Kurfürst"
"Cologne","Köln"
"Saxony","Sachsen"
"The Palatinate","Die Pfalz"
"Trier","Trier"
"Alsace","Elsass"
"Prince","Prinz"
"Anhalt","Anhalt"
"Baden","Baden"
"Ansbach","Ansbach"
"Brandenburg","Brandenburg"
"Hesse","Hessen"
"Austria","Österreich"
"Bavaria","Bayern"
"Prussia","Preußen"
"Nuremburg","Nürnberg"
"Salzburg","Salzburg"
"Mainz","Mainz"
"Wurttemberg","Württemberg"
"Thuringia","Thüringen"
"France","Frankreich"
"Foreign Power","Ausländische Macht"
"Ulm","Ulm"
"Provence","Provence"
"Trent","Trent"
"Spain","Spanien"
"Poland","Polen"
"Frankfurt","Frankfurt"
"Britain","Großbritannien"
"Sweden","Schweden"
"Milan","Mailand"
"Wurzburg","Würzburg"
"Denmark","Dänemark"
