english,translation
"Gift Province","Provincia de regalo"
"You may gift non-town provinces to Principalities if the provinces are adjacent to the Principality and the same religion as the Principality. Gain 1 Diplomatic Influence per gifted province with that Principality.","Puedes donar provincias que no sean ciudades a Principados si las provincias son adyacentes al Principado y tienen la misma religión que el Principado. Gana 1 Influencia Diplomática por provincia dotada con ese Principado."
"Spread the Faith","Difundir la fe"
"You must be Protestant or a post Council of Trent Catholic to Spread the Faith. Roll all of your Faith dice. Earn 1 Saint or Reformation Point for each Cross or Crucifix (1-3) you roll. In Initiative Order, place all of your successful dice on provinces of your choice, defensively or offensively within their own territory, in a neighboring (adjacent) player-controlled non-capital province, or on a neighboring or allied Principality (but not a neighbor of an ally). See the Spread the Faith Rules for resolving Faith dice.","Debes ser protestante o católico posterior al Concilio de Trento para difundir la fe. Tira todos tus dados de Fe. Gana 1 Punto de Santo o Reforma por cada Cruz o Crucifijo (1-3) que obtengas. En Orden de Iniciativa, coloca todos tus dados exitosos en provincias de tu elección, defensiva u ofensivamente dentro de su propio territorio, en una provincia vecina (adyacente) no capital controlada por el jugador, o en un Principado vecino o aliado (pero no un Principado vecino). de un aliado). Consulta las Reglas de Difunde la Fe para resolver los dados de Fe."
"Provide Assistance","Proveer asistencia"
"Players may pay Gold (to the bank) for Diplomatic Influence at a rate of 1:1.","Los jugadores pueden pagar Oro (al banco) por Influencia Diplomática a razón de 1:1."
"Join a League","Únete a una liga"
"Players saved by Faith and Works may join the Catholic League. They lose 1 Diplomatic Influence from each Protestant Principality they have influence with. Players saved by Faith Alone may join the Evangelical League. They lose 1 Diplomatic Influence from each Catholic Principality they have influence with. Players not saved by Faith Alone or by Faith and Works may join either League and lose no Diplomatic Influence upon Joining a League. Players cannot change or leave Leagues.","Los jugadores salvados por Fe y Obra podrán unirse a la Liga Católica. Pierden 1 Influencia Diplomática de cada Principado Protestante en el que tienen influencia. Los jugadores salvados por Faith Alone pueden unirse a la Liga Evangélica. Pierden 1 Influencia Diplomática de cada Principado Católico en el que tienen influencia. Los jugadores que no sean salvados por Sólo Fe o por Fe y Obras pueden unirse a cualquiera de las Ligas y no perderán Influencia Diplomática al unirse a una Liga. Los jugadores no pueden cambiar ni abandonar Ligas."
"Church Abuses","Abusos de la Iglesia"
"If you are Catholic and the Council of Trent has not concluded, convert every two Faith into a Saint. Extra Faith is lost.","Si eres católico y el Concilio de Trento no ha concluido, convierte cada dos Fe en Santo. Se pierde la fe adicional."
"Catholic Reformation","Reforma católica"
"Gain 2 Faith if you are Catholic and the Council of Trent has concluded.","Gana 2 de Fe si eres católico y el Concilio de Trento ha concluido."
"Intercession of Saints","Intercesión de los santos"
"Gain 1 Faith per 5 Saints if you are Catholic.","Gana 1 Fe por cada 5 santos si eres católico."
"Influence a Prince","Influir en un príncipe"
"You may place Diplomatic Influence on any Principalities of your choice. To ally a Principality, you must have at least as much Diplomatic Influence as the Principality has provinces, and more Diplomatic Influence than any other Player. You may ally a Principality regardless of the religion it follows.","Puedes ejercer influencia diplomática en cualquier Principado de tu elección. Para aliarte con un Principado, debes tener al menos tanta Influencia Diplomática como provincias tiene el Principado, y más Influencia Diplomática que cualquier otro Jugador. Puedes aliarte con un Principado independientemente de la religión que siga."
"Release Vassal","Liberar vasallo"
"If you have a Province with a town on it, you may release a Principality as your 'vassal'; replace your control marker with a Principality one. Place 2 influence on this Principality; you start its ally. Other Players may influence this Principality, and you may not retake this Principality except through war.","Si tienes una Provincia con una ciudad en ella, puedes liberar a un Principado como tu vasallo; reemplaza tu marcador de control por uno de Principado. Coloque 2 influencia en este Principado; comienzas su aliado. Otros Jugadores pueden influir en este Principado y no puedes recuperarlo excepto mediante la guerra."
"Convert Religions","None"
"If you are not a Foreign Power","None"
"The Jesuits Strike Back","None"
"Gain 1 Faith if you are Protestant and it's Round 4-6.","None"
"Church Patronage","Patronato de la Iglesia"
"Convert 1 Gold into 2 Faith as many times as you want.","Convierte 1 Oro en 2 Fe tantas veces como quieras."
"Sale of Indlugences","Venta de Indulgencias"
"Gain 1 Gold if you are Catholic and the Council of Trent has not concluded.","Gana 1 de oro si eres católico y el Concilio de Trento no ha concluido."
"Become Foreign Power","Convertirse en potencia extranjera"
"You may become a Foreign Power if you have no provinces or if you have 5 Imperial Power or less during Round 1-3 or you have 15 Imperial Power or less during Round 4-6.","Puedes convertirte en una Potencia Extranjera si no tienes provincias o si tienes 5 Poder Imperial o menos durante las Rondas 1-3 o tienes 15 Poder Imperial o menos durante las Rondas 4-6."
"Choose a Foreign Power hex and place it on the edge of the map. Replace your old province hex with a random Principality. Your Foreign Power is same Religion as your old Principality. Discard all saved and placed Influence but keep every other Influence discarded.","Elige un hexágono de potencia extranjera y colócalo en el borde del mapa. Reemplaza tu antiguo hexágono de provincia con un Principado aleatorio. Su potencia extranjera es la misma religión que su antiguo Principado. Descarta todas las Influencias guardadas y colocadas, pero mantén descartadas todas las demás Influencias."
"Every round, set your Imperial Power to the round number multiplied by four minus the total value of 2D6. Gain Imperial Power from Provinces gained as normal. You cannot lose your last province.","En cada ronda, establece tu Poder Imperial en el número de ronda multiplicado por cuatro menos el valor total de 2D6. Gana poder imperial de las provincias obtenidas de forma normal. No puedes perder tu última provincia."
"Zeal","Celo"
"Gain 4 Faith if you are Saved.","Gana 4 de Fe si eres salvo."
"Down with the Whore of Babylon","Abajo la ramera de Babilonia"
"Gain 3 Faith if you are Protestant and it's Round 1-3.","Gana 3 de Fe si eres protestante y es la Ronda 1-3."
"Keep the Faith","Mantener la fe"
"Earn a Faith cube of your faith based on the round number and your total Saints.","Gana un cubo de fe de tu fe según el número redondo y el total de santos."
"Imperial Sanction","Sanción imperial"
"Gain 1 Faith if you are the Emperor or follow the Emperor's religion.","Gana 1 de Fe si eres el Emperador o sigues la religión del Emperador."
"Change Military Doctrine","Cambiar la doctrina militar"
"Change your Military Doctrine by moving your cube.","Cambia tu Doctrina Militar moviendo tu cubo."
"Declare Private War","Declarar guerra privada"
